rpm,mode,stroke(1:2stroke/2:4stroke),encoder,cylinder,count,Pcomp,TDC Marker Offset,Firing Tolerance,CylinderDiameter,CombustionChamberStroke,ConnectingRodLength,InitialPressure,InitialTemperature,EngineRpm,CrankRadius,CompressionRatio,SpecificGravity,IndexLowCalorificPower,,,,
9323,1,1,360,6,360,0,0,0,42,136,163.8,0,27.8,93.23,68,12.71,0.87,0,,,,
angle,rawdata,pressure,v,p,dp,dv,hrr,tk,dqw,dqt,k,pmi,w,pt(ns),ROHR[Kcal/cycle],SFC[g/HP.H],,,,,,Pmi (bar)
109,77.751,3.346,97111.297,3.071,0.054,-1764.821,-0.138,614.463,0.099,-0.039,1.365,0,0,149416,,,,,251,5.386,2.315,
110,77.605,3.2,95346.576,3.12,0.044,-1764.5,-0.213,612.996,0.095,-0.118,1.365,0,0,150134,,,,,250,5.557,2.437,
111,77.036,2.631,93582.544,3.158,0.031,-1763.44,-0.299,608.998,0.087,-0.212,1.365,0,0,150006,,,,,249,5.748,2.59,
112,78.136,3.731,91819.943,3.183,0.02,-1761.635,-0.375,602.315,0.074,-0.3,1.366,0,0,150600,,,,,248,5.948,2.765,
113,77.69,3.285,90059.524,3.201,0.018,-1759.077,-0.387,594.007,0.058,-0.329,1.367,0,0,150484,,,,,247,6.142,2.941,
114,77.713,3.308,88302.042,3.226,0.036,-1755.759,-0.289,586.951,0.044,-0.245,1.367,0,0,151060,,,,,246,6.318,3.092,
115,76.99,2.585,86548.262,3.28,0.075,-1751.674,-0.085,584.938,0.039,-0.045,1.368,0,0,151402,,,,,245,6.471,3.191,
116,77.605,3.2,84798.952,3.379,0.124,-1746.816,0.154,590.501,0.048,0.202,1.367,0,0,151606,,,,,244,6.606,3.227,
117,77.859,3.454,83054.889,3.524,0.163,-1741.181,0.329,603.165,0.069,0.398,1.366,0,0,151632,,,,,243,6.737,3.213,
118,78.389,3.984,81316.852,3.698,0.179,-1734.763,0.375,619.623,0.098,0.472,1.364,0,0,151926,,,,,242,6.881,3.183,
119,78.136,3.731,79585.626,3.875,0.172,-1727.558,0.293,635.546,0.126,0.418,1.363,0,0,151748,,,,,241,7.058,3.183,
120,78.589,4.184,77862,4.036,0.148,-1719.562,0.136,647.583,0.147,0.282,1.362,0,0,152270,,,,,240,7.278,3.242,
121,78.743,4.338,76146.766,4.172,0.123,-1710.773,-0.021,654.539,0.159,0.138,1.361,0,0,151946,,,,,239,7.541,3.369,
122,78.881,4.476,74440.72,4.287,0.111,-1701.187,-0.109,657.553,0.163,0.054,1.361,0,0,152676,,,,,238,7.839,3.552,
123,78.682,4.277,72744.659,4.399,0.118,-1690.802,-0.098,659.415,0.166,0.067,1.361,0,0,152528,,,,,237,8.154,3.755,
124,78.559,4.154,71059.383,4.529,0.143,-1679.617,-0.011,663.104,0.172,0.161,1.36,0,0,153216,,,,,236,8.472,3.943,
125,78.905,4.499,69385.691,4.687,0.172,-1667.632,0.087,670.117,0.184,0.271,1.36,0,0,152730,,,,,235,8.785,4.098,
126,79.458,5.053,67724.385,4.87,0.19,-1654.846,0.125,679.621,0.201,0.326,1.359,0,0,153610,,,,,234,9.095,4.225,
127,79.335,4.93,66076.266,5.061,0.188,-1641.259,0.077,689.111,0.219,0.296,1.358,0,0,152026,,,,,233,9.411,4.35,
128,79.904,5.499,64442.134,5.243,0.174,-1626.872,-0.023,696.224,0.232,0.21,1.357,0,0,153550,,,,,232,9.738,4.495,
129,80.127,5.722,62822.788,5.41,0.163,-1611.687,-0.106,700.382,0.24,0.134,1.357,0,0,152012,,,,,231,10.077,4.667,
130,79.935,5.53,61219.024,5.572,0.165,-1595.707,-0.13,702.938,0.244,0.115,1.357,0,0,151960,,,,,230,10.429,4.857,
131,79.496,5.091,59631.639,5.743,0.178,-1578.933,-0.11,705.709,0.249,0.139,1.357,0,0,152518,,,,,229,10.799,5.056,
