rpm,mode,stroke(1:2stroke/2:4stroke),encoder,cylinder,count,Pcomp,TDC Marker Offset,Firing Tolerance,CylinderDiameter,CombustionChamberStroke,ConnectingRodLength,InitialPressure,InitialTemperature,EngineRpm,CrankRadius,CompressionRatio,SpecificGravity,IndexLowCalorificPower,,,,
11085,1,1,360,4,360,0,0,0,42,136,163.8,0.29,35,110.85,68,12.71,0.87,0,,,,
angle,rawdata,pressure,v,p,dp,dv,hrr,tk,dqw,dqt,k,pmi,w,pt(ns),ROHR[Kcal/cycle],SFC[g/HP.H],,,,,,
133,83.04,6.98,56509.163,6.826,0.246,-1543.019,-0.029,635.489,0.128,0.099,1.363,0,0,128004,,,,,227,15.618,8.792,
134,83.409,7.349,54975.644,7.075,0.254,-1523.888,-0.047,640.806,0.139,0.092,1.362,0,0,127144,,,,,226,16.216,9.141,
135,83.563,7.503,53461.645,7.338,0.275,-1503.982,-0.023,646.275,0.151,0.128,1.362,0,0,127370,,,,,225,16.882,9.544,
136,82.894,6.834,51967.937,7.629,0.309,-1483.305,0.044,653.116,0.166,0.21,1.361,0,0,127152,,,,,224,17.618,9.989,
137,83.655,7.595,50495.289,7.957,0.347,-1461.865,0.109,661.943,0.187,0.296,1.36,0,0,126648,,,,,223,18.415,10.458,
138,84.693,8.633,49044.459,8.318,0.371,-1439.669,0.126,672.083,0.212,0.338,1.36,0,0,127006,,,,,222,19.259,10.941,
139,85.231,9.171,47616.2,8.695,0.379,-1416.724,0.085,682.062,0.237,0.323,1.359,0,0,126118,,,,,221,20.14,11.445,
140,84.67,8.61,46211.258,9.074,0.379,-1393.038,0.024,690.791,0.259,0.283,1.358,0,0,126450,,,,,220,21.061,11.987,
141,85.693,9.633,44830.367,9.456,0.387,-1368.621,-0.013,698.34,0.279,0.265,1.357,0,0,126188,,,,,219,22.032,12.576,
142,85.954,9.894,43474.256,9.854,0.412,-1343.482,-0.002,705.718,0.298,0.296,1.357,0,0,125618,,,,,218,23.064,13.21,
143,85.693,9.633,42143.64,10.285,0.453,-1317.632,0.047,714.076,0.321,0.368,1.356,0,0,125808,,,,,217,24.166,13.881,
144,87.046,10.986,40839.226,10.762,0.501,-1291.08,0.107,724.04,0.349,0.456,1.355,0,0,125170,,,,,216,25.336,14.574,
145,87.076,11.016,39561.71,11.286,0.547,-1263.838,0.155,735.574,0.382,0.537,1.354,0,0,125400,,,,,215,26.567,15.281,
